詞性 (Part of Speech),單字 (Word),中文解釋 (Meaning),生動例句 (Vivid & Engaging Sentence)
Noun,shoulder,肩膀,Dad lifts me on his strong shoulders high.
Noun,skin,皮膚,Skin is my body's cover protecting everything inside.
Noun,toe,腳趾,My toes help me balance like tiny friends.
Noun,tooth,牙齒,The tooth fairy magically trades teeth for coins.
=== 30. 溫度與觸感 ===,,,
Noun,bitter,苦味,The medicine is bitter to drink down.
Adjective,cold,冷的,The ice is cold on my tongue.
Noun,cold,寒冷/感冒,The cold makes my nose turn red.
Adjective,cold,冰冷的,The cold ice cream is yummy on a hot day.
Adjective,cool,涼爽的,A cool breeze feels nice on my skin.
Adjective,dry,乾的,The towel is dry and very warm.
Noun,dry,乾燥,The dry leaves crunch under my feet.
Adjective,dry,乾燥的,"I like to lie on the warm, dry sandy beach."
Adjective,heavy,重的,The rock is heavy for little me.
Adjective,hot,熱的,The soup is hot so I blow.
Noun,hot,熱/熱度,Hot cocoa warms my cold hands up.
Noun,sour,酸的,The lemon is sour and makes me make faces.
Noun,sweet,甜的,This candy is sweet and very sticky.
Adjective,warm,溫暖的,The warm sun hugs my face gently.
Adjective,wet,濕的,My hair is wet after the rain.
Noun,wet,潮濕,The wet grass soaks my white socks.
Adjective,wet,潮濕的,My shoes are wet from jumping in the puddle.
=== 31. 速度與狀態 ===,,,
Adjective,different,不同的,"Every snowflake is different, just like every person is special."
Adjective,empty,空的,The box is empty and clean now.
Adjective,fast,快速的,The rabbit is fast and very small.
Adjective,fast,快的,Fast thinking helps us solve puzzles before time out.
Adverb,off,離開/關閉,The rocket blasts off to outer space.
Preposition,off,離開 (接觸點),I take off my wet coat fast.
Preposition,off,離開/脫離,The rocket blasts off into space to stars.
Adverb,on,開啟/在上面,Turn on the lamp when it's dark.
Preposition,on,在...上面,On the windowsill sits a plant growing up.
Adjective,quick,快的/迅速的,The rabbit is quick and runs fast.
Adjective,ready,準備好的,I'm ready to catch the falling stars.
Adjective,same,相同的,We wore the same silly hats with bells to the party!
Adjective,slow,慢的,The turtle is slow but very steady.
Adjective,whole,整個的,I ate the whole slice with a smile.
=== 32. 程度與數量 ===,,,
Determiner,all,全部,All my toys go in the box.
Determiner,all,所有,All the stars come out at night.
Adjective,all,所有的,All the butterflies danced together nicely in the meadow.
Determiner,any,任何,Do you have any stories about trees?
Determiner,both,兩者都,Both hands can clap together loudly.
Determiner,each,每個,Each child gets one cookie to eat.
Adverb,enough,足夠,Is the sky big enough to hold all my dreams?
Determiner,every,每個,Every star shines bright at night.
Determiner,few,很少,Only a few cookies are left now.
Noun,half,一半,I eat half of my sandwich now.
Adjective,least,最少的,This path has the least puddles to jump over.
Determiner,less,更少,Less noise helps the baby sleep well.
Adjective,less,更少的,"With less noise, we can hear the forest whisper."
Noun,lot,許多,A lot of giggles make the day bright.
Determiner,many,許多,Many ants march in a long line.
Adverb,many,很多 (可數),Many seeds can grow into tall trees.
Determiner,many,很多,Many butterflies land on the bright flowers.
Determiner,more,更多,I want more bubbles floating up please.
Adjective,more,更多的,Please tell me more fun stories about talking animals!
Adjective,most,大部分的,Most mornings the birds wake up before the sun.
Adverb,much,很多 (不可數),The ocean has so much water in.
Adjective,much,許多 (不可數),Too much rain makes the river rush and sing loudly.
Interjection,no,不/拒絕,No I am not sleepy yet mom.
Pronoun,none,沒有一個,None of the cookies are left now.
Noun,part,部分,Every part of the rainbow makes it beautiful.
Noun,piece,塊/片,I need one more puzzle piece now.
Conjunction,so,所以,It is late so we sleep now.
Adverb,so,如此,I'm so happy my heart feels like it might burst!
Determiner,some,一些,Some stars peek through the gray clouds.
Adverb,too,太過/也,This bag is too heavy for me.
Adverb,too,也/太,I want to be a wizard too.
Adverb,very,非常,The soup is very tasty and warm.
=== 33. 時間 ===,,,
Preposition,after,在...之後,After lunch we go outside to play.
Noun,afternoon,下午,Afternoon is perfect for a quiet nap.
Adverb,again,再一次,Let's do that again because it's fun.
Adverb,ago,以前,Long ago dinosaurs walked here before us.
Adverb,already,已經,The moon is already awake even though it's daytime.
Adverb,always,總是,I always say please and thank you.
Preposition,before,在...之前,Wash hands before we eat our food.
Noun,day,白天/天,This day is full of fun to play.
Preposition,during,在...期間,During class we use quiet soft voices.
Adverb,early,早,The early birds get to hear sunrise.
Noun,evening,傍晚,Evening lights glow on the street now.
Adjective,first,第一個,I take the first turn in line.
Noun,hour,小時,An hour feels long on car trips.
Adjective,last,上一個/最後一個,The last cookie goes to you now.
Adverb,late,晚,Stars stay up late painting the sky.
Adverb,later,之後,We'll chase fireflies later when it's dark.
Noun,minute,分鐘,One minute can feel so very long.
Noun,month,月,Twelve months hold hands making a circle called a year.
Noun,January,一月,In January I wear a warm hat.
Noun,February,二月,In February hearts fill the window.
Noun,March,三月,In March the wind pushes my kite.
Noun,April,四月,In April soft rain wakes the flowers.
Noun,May,五月,In May we see baby birds.
Noun,June,六月,In June we eat cold ice cream.
Noun,July,七月,In July the sun stays up late.
Noun,August,八月,In August we swim at the pool.
Noun,September,九月,In September I go back to school.
Noun,October,十月,In October pumpkins glow at night.
Noun,November,十一月,In November we thank and share.
Noun,December,十二月,In December lights sparkle in the dark.
Noun,morning,早上,Morning smells like toast and fresh bread.
Adverb,never,從不,I never run in the school hallway.
Adjective,next,下一個,The next page has a big surprise.
Adverb,next,接著,I take one step then next step fast.
Adjective,next,下一個的,What happens next in the exciting story today?
Noun,night,晚上,The night brings stars and wise owls.
Noun,noon,中午,We eat lunch at noon every day.
Adverb,now,現在,Now it is time to read books.
Noun,o'clock,點鐘,School starts at eight o'clock sharp.
Adverb,often,經常,"The robin often visits, singing sweet songs."
Adverb,once,一次,Once upon a time stories always start.
Adjective,second,第二個,I get a second try at jumping.
Adverb,seldom,很少,We seldom see rainbows but they're magic.
Adverb,sometimes,有時候,Sometimes the wind whispers to my ear.
Adverb,soon,很快,Soon the caterpillar will become a butterfly.
Adverb,still,仍然,The turtle is still walking to its destination slowly.
Adverb,then,然後,First we draw then we cut paper.
Adjective,third,第三的,I am third in line to go.
Noun,time,時間,Time for bed means story time now.
Adverb,today,今天,Today we bake cookies with grandma.
Noun,tomorrow,明天,Tomorrow we will fly a big kite.
Adverb,twice,兩次,I read my favorite story twice today.
Adverb,usually,通常,Birds usually know secrets we don't know.
Noun,week,週,A week is seven days of playing follow the leader.
Noun,Monday,星期一,On Monday we read a fun book.
Noun,Tuesday,星期二,On Tuesday we draw a big rocket.
Noun,Wednesday,星期三,On Wednesday we play a new game.
Noun,Thursday,星期四,On Thursday I help mom bake cookies.
Noun,Friday,星期五,On Friday we dance like silly robots.
Noun,Saturday,星期六,On Saturday we ride our bikes to the park.
Noun,Sunday,星期日,On Sunday we rest and tell stories.
Noun,year,年,"Every year I grow taller, wiser, and better."
Noun,yesterday,昨天,Yesterday we played in the warm rain.
Adverb,yet,尚/還沒,The mystery hasn't been solved yet but we're close!
=== 34. 位置與方向 ===,,,
Preposition,above,在...上方,A bird flies above our heads now.
Preposition,across,穿過 (表面),We jump across the small stream fast.
Preposition,along,沿著,We walk along the river path slowly.
Preposition,among,在 (多者)之中,A red flower grows among green ones.
Preposition,around,在...周圍,We run around the big tree fast.
Preposition,at,在 (某點),Look at the bright moon tonight now.
Preposition,behind,在...後面,The ball rolls behind the soft sofa.
Preposition,below,在...下方,The treasure is below the X mark.
Preposition,between,在 (兩者)之間,The ball is between two red shoes.
Noun,corner,角落,I hide in the corner when we play.
Adverb,down,向下,The leaf falls down slowly to me.
Adverb,far,遠,The moon looks far at night.
Adjective,far,遠的,The mountain seems far away from here.
Preposition,from,來自/從,I got a big hug from my dad.
Noun,front,前面,I sit in the front of our class.
Adverb,here,這裡,Come here and hold my hand tight.
Preposition,in,在...裡面,The toy lives in my backpack now.
Preposition,inside,在...裡面,The toys are inside the big box.
Preposition,into,進入...內部,We jump into the big leaf pile.
Adjective,left,左邊的,My left hand waves hello to you.
Noun,middle,中間,I sit in the middle of class.
Preposition,near,在...附近,A bakery near school smells so good.
Adjective,near,近的,The butterfly lands near my nose gently.
Adverb,out,在外面/出去,The chick comes out of the egg.
Preposition,out of,從...出來,I climb out of the big box.
Preposition,outside,在外面,We play outside in the sunshine today.
Preposition,over,越過,The cat jumps over the cardboard box.
Adverb,over,結束,When bedtime is over morning brings fun.
Adjective,right,正確的,Being right isn't as important as being kind.
Noun,side,側面,Stand by my side right here please.
Adverb,there,那裡,Look there! A rainbow is growing now.
Preposition,through,穿過,The train goes through the dark tunnel.
Preposition,to,到,We walk to the park every day.
Noun,top,頂部,The star sits on top of the tree.
Preposition,toward,朝向,I walk toward the bright shining sun.
Preposition,under,在...下面,The mouse hides under the big chair.
Adverb,up,向上,The balloons float up to the sky.
Adverb,where,哪裡,Where is my blue hat hiding now?
=== 35. 連接詞與邏輯 ===,,,
Conjunction,and,和,We sing and dance and laugh loud.
Conjunction,as,當...時/因為,The leaves change colors as fall comes.
Conjunction,because,因為,I smile because you are here now.
Conjunction,but,但是,I am small but I am strong.
Conjunction,if,如果,If it rains we play inside today.
Conjunction,or,或,Do you want milk or juice today?
Preposition,since,因為/自從,Since forever stars have been shining down bright.
Conjunction,than,比,Kindness is more powerful than being very big.
Conjunction,though,雖然,Though I'm small I have the big dreams.
Preposition,till,直到,I'll love you till all the stars go away.
Conjunction,until,直到,Dance until your feet get tired and stop.
Adverb,when,什麼時候,When is snack time today I wonder?
Conjunction,while,當...時候,We read while the rain falls down.
=== 36. 疑問詞 ===,,,
Adverb,how,如何,How do we make a paper boat?
Pronoun,what,什麼,What is inside the mystery box now?
Pronoun,which,哪一個,Which toy do you want to play?
Pronoun,who,誰,Who is hiding behind the big tree?
Adverb,why,為什麼,Why is the sky so blue today?
=== 37. 代名詞 ===,,,
Pronoun,anyone,任何人,Anyone can be a hero with kindness.
Pronoun,anything,任何事物,I can do anything when I believe.
Pronoun,everyone,每個人,Everyone claps when the show ends well.
Pronoun,everything,一切,Everything looks different through my eyes now.
Pronoun,he,他,He wears a red hero cape today.
Determiner,her,她的,Her doll rides on a tiny bike.
Pronoun,her,她 (受格),I saved a seat for her here.
Pronoun,hers,她的東西,The pink umbrella is hers I think.
Pronoun,herself,她自己,She did it all by herself alone.
Pronoun,him,他 (受格),I share my snack with him today.
Pronoun,himself,他自己,He tied his shoes by himself today.
Determiner,his,他的,His hat has one bright shiny star.
Pronoun,his,他的東西,The green backpack is his not mine.
Pronoun,it,它,It is a soft fluffy baby cloud.
Pronoun,its,它的,The dog wags its tail when happy.
Pronoun,itself,它自己,The cat cleans itself with its tongue.
Pronoun,nobody,沒人,Nobody believes me but I saw it.
Pronoun,nothing,沒什麼,Nothing can stop me when I imagine.
Pronoun,she,她,She draws stars on blue paper now.
Pronoun,someone,某人,Someone left footprints in sand for me.
Pronoun,something,某物,Something wonderful is hiding behind that door.
Conjunction,that,那個,I know that you are my friend.
Determiner,their,他們的,Their boat sails on the small pond.
Pronoun,theirs,他們的東西,The big snowman is theirs they made.
Pronoun,them,他們 (受格),I give them stickers for being good.
Determiner,these,這些,These toys are all mine to play.
Pronoun,they,他們,They play tag in the big yard.
Pronoun,this,這個,This book is my favorite one ever.
Pronoun,those,那些,Those birds fly high in the sky.
=== 38. 冠詞與限定詞 ===,,,
Determiner,a,一個,A red kite flies in the sky.
Determiner,an,一個 (母音前),I see an elephant at the zoo.
Determiner,such,這樣的,I had such a fun time today.
Determiner,the,這個/那個,The rainbow smiles after the rain.
=== 39. Be動詞與助動詞 ===,,,
Verb,be,是/存在,I want to be a helper today.
Modal Verb,can,能夠 (能力),I can turn ordinary moments into fun games!
Modal Verb,could,能夠 (過去/可能性),If trees could talk they'd share secret stories.
Verb,did,做 (過去),Yesterday I did cartwheels with the wind fast.
Verb,do,做,I do my homework after I eat.
Verb,do,做 (現在),What do butterflies dream about when they rest?
Verb,does,做 (單數現在),The moon does a trick and goes away.
Verb,had,擁有 (過去),Once I had a dream that I could fly.
Verb,has,擁有 (單數現在),Every flower has its own story to tell.
Verb,have,擁有,I have a red bike to ride.
Verb,have,擁有 (現在),I have pockets full of dreams and fun.
Modal Verb,may,可能 (許可/可能性),May I borrow your toy for just moment?
Modal Verb,might,可能 (微小可能性),The caterpillar might be dreaming of becoming big.
Modal Verb,must,必須 (義務),We must remember to look for fun things.
Modal Verb,shall,將要 (建議),Shall we go to the park today?
Modal Verb,should,應該 (建議),We should always leave room for fun good things.
Verb,was,"是 (過去式, 單數)",Yesterday was amazing but today is good too!
Verb,were,"是 (過去式, 複數)",The clouds were big shapes in the sky.
Modal Verb,will,將會 (未來),Tomorrow I will catch a ride on clouds!
Modal Verb,would,會 (過去/假設),I would teach the birds my songs if asked.
=== 4. 數字與顏色 ===,,,
Adjective,black,黑色的,The night is black and so quiet.
Adjective,blue,藍色的,The blue sky smiles down at me.
Adjective,brown,棕色的,The bear has brown thick fur on.
Noun,color,顏色,What color is your backpack today?
Verb,color,塗色,Who says the sky must always be blue?
Verb,count,數數,Let's count the shells we found together.
Number,eight,八,Eight crayons color my picture today.
Number,five,五,Five little ducks swim by me now.
Number,four,四,Four cars race on the soft rug.
Adjective,gold,金色的,The crown is gold and very shiny.
Adjective,green,綠色的,A green turtle naps on the rock.
Adjective,grey,灰色的,The wolf has grey soft fur outside.
Noun,hundred,一百,There are one hundred pennies in a dollar.
Noun,million,一百萬,A million stars shine in the night sky.
Number,nine,九,Nine bees buzz around the hive loudly.
Noun,number,數字,My door has a big number three.
Number,one,一,One red ball rolls to me now.
Adjective,orange,橘色的,An orange fish swims by me now.
Adjective,pink,粉紅色的,She wears pink socks to school today.
Adjective,purple,紫色的,I see a purple flower in grass.
Adjective,red,紅色的,I wear a red cape to play hero.
Number,seven,七,Seven stars twinkle over our town.
Adjective,silver,銀色的,The coin is silver and so round.
Number,six,六,Six eggs rest in the bird nest.
Number,ten,十,Ten candles glow on my birthday cake.
Noun,thousand,一千,One thousand is a very big number.
Number,three,三,Three frogs sit on a brown log.
Number,twelve,十二,There are twelve months in one year.
Number,twenty,二十,I can count to twenty with my fingers.
Number,two,二,Two birds sing on the white fence.
Adjective,white,白色的,The snow is white and very soft.
Adjective,yellow,黃色的,A yellow duck swims in the pond.
Number,zero,零,Zero means nothing at all.
=== 40. 禮貌用語 ===,,,
Interjection,goodbye,再見,I wave goodbye to the setting sun.
Interjection,hello,嗨,We say hello to our new friends.
Interjection,please,請,Please read the book one more time.
Interjection,sorry,對不起,Sorry I stepped on your block tower.
Interjection,thank you,謝謝,Thank you for sharing your bright crayons.
Interjection,yes,是/同意,Yes I want one more story please.
=== 41. 交通工具 ===,,,
Noun,adventure,冒險,Every day is a new adventure waiting for us.
Noun,boat,船,Boats let us walk on water like fun game.
Noun,bus,公車,The bus is a moving room that takes you places.
Noun,car,汽車,Dad drives the car to the beach.
Verb,fly,飛,Butterflies fly over the pretty flowers now.
Noun,journey,旅程,Our journey to grandma's house takes three hours.
Noun,plane,飛機,Planes are birds that humans built so we can fly.
Verb,ride,騎/乘坐,I ride my bike to the park.
Noun,ship,船,The big ship sails on the sea.
Noun,train,火車,Trains are caterpillars made of metal on steel tracks.
Verb,travel,旅行,We travel to new places every summer vacation.
Noun,truck,卡車,The big truck carries many heavy boxes.
=== 42. 職業 ===,,,
Noun,actor,演員,The funny actor makes everyone laugh in play.
Noun,artist,藝術家,The creative artist paints beautiful colorful pictures everyday.
Noun,astronaut,太空人,The astronaut floats in space without gravity pull.
Noun,baker,麵包師,The baker makes fresh bread early every morning.
Noun,barber,理髮師,The barber cuts my hair to make neat.
Noun,builder,建築工人,The strong builder constructs houses for people.
Noun,chef,廚師,The talented chef cooks delicious fancy meals daily.
Noun,dancer,舞者,The graceful dancer twirls and leaps across stage.
Noun,dentist,牙醫,The dentist helps keep my teeth healthy strong.
Noun,doctor,醫生,The kind doctor helps sick people feel better.
Noun,driver,司機,The bus driver takes children to school safely.
Noun,explorer,探險家,The brave explorer travels to unknown distant lands.
Noun,farmer,農夫,The hardworking farmer grows food for everyone daily.
Noun,firefighter,消防員,The brave firefighter saves people from burning buildings.
Noun,gardener,園丁,The patient gardener plants seeds that become flowers.
Noun,job,工作,Every job is important in making the world better.
Noun,librarian,圖書館員,The helpful librarian finds books I like to read.
Noun,mail carrier,郵差,The mail carrier delivers letters every day.
Noun,musician,音樂家,The talented musician plays many different instruments well.
Noun,nurse,護士,The nurse gives me a bandage for my cut.
Noun,painter,畫家/油漆工,The painter uses a brush to make art.
Noun,pilot,飛行員,The pilot flies the big plane through clouds.
Noun,police officer,警察,The police officer keeps our neighborhood very safe.
Noun,scientist,科學家,The scientist studies how plants grow in soil.
Noun,singer,歌手,The singer has a beautiful voice that sounds lovely.
Noun,vet,獸醫,The vet takes care of sick animals lovingly.
=== 43. 運動與比賽 ===,,,
Noun,coach,教練,The coach teaches us how to play better.
Noun,court,球場,We play tennis on the outdoor tennis court.
Noun,fan,粉絲,The fans cheer loudly for their favorite team.
Noun,field,田野/場地,We play soccer in the green field.
Noun,field,運動場,The soccer field has goals on both ends.
Noun,gym,體育館,We play basketball in the big indoor gym.
Noun,medal,獎牌,I won a gold medal for running fastest.
Noun,player,選手,Each player has an important role on team.
Noun,prize,獎品,The first prize is a big teddy bear.
Noun,race,比賽/競速,I won the race by running very fast.
Noun,score,分數,Our team has the highest score so far.
Verb,score,得分,I score a goal for my team today.
Noun,stadium,體育場,The huge stadium holds thousands of cheering fans.
Noun,team,隊伍,Our team works together to win the game.
Noun,team,團隊,Our team works together like a well-oiled machine.
Verb,tie,平手,Both teams played well so they tie today.
Noun,track,跑道,I run fast around the oval track at school.
Noun,trophy,獎盃,The shiny trophy goes to the winning team.
Verb,win,贏,We practice hard so we can win game.
Noun,winner,贏家,The winner gets to hold the trophy high.
=== 44. 健康 ===,,,
Noun,bandage,繃帶,The nurse puts a bandage on my scraped knee.
Adjective,better,更好的,Today is better than yesterday was.
Noun,cough,咳嗽,My cough keeps me awake at night sometimes.
Noun,fever,發燒,The fever makes my forehead feel very hot.
Adjective,fit,健康的/合適的,Running every day keeps me fit and energetic.
Verb,heal,痊癒,Cuts heal faster when you keep them clean.
Noun,health,健康,Good health is the most important treasure ever.
Adjective,healthy,健康的,Eating vegetables keeps me healthy and strong always.
Noun,medicine,藥,The medicine tastes bad but helps me feel better.
Verb,sneeze,打噴嚏,I sneeze when dust tickles my nose inside.
Noun,sneeze,噴嚏,A big sneeze makes my whole body shake.
Adjective,worse,更糟的,My cold got worse before it got better.
=== 45. 品德與行為 ===,,,
Adjective,fair,公平的,It's fair when everyone gets a turn here.
Adjective,false,假的,The pirate's false map led them to an empty beach.
Adjective,honest,誠實的,Being honest means telling the truth always.
Noun,law,法律,Laws help keep everyone safe in our country.
Noun,promise,承諾,A promise is something you must always keep.
Adjective,real,真實的,Real magic happens when you believe in your dreams.
Noun,rule,規則,We follow the rules to play safely together.
Noun,secret,秘密,We keep a secret in the box.
Adjective,secret,秘密的,We have a secret hiding place in the tree.
Adjective,true,真實的,True friends are like stars—always there when you can't see them.
Noun,trust,信任,Trust is built when you keep your promises.
Noun,truth,真相,Always tell the truth even when it's hard.
Adjective,unfair,不公平的,It's unfair when someone cheats in the game.
Adjective,wrong,錯誤的,Wrong turns sometimes lead to the best adventures found.
=== 46. 購物與金錢 ===,,,
Verb,buy,買,We buy apples at the store today.
Adjective,cheap,便宜的,This toy is cheap so I can buy.
Verb,cost,花費,The toy car costs five dollars at the store.
Verb,earn,賺得,I earn stars by doing my homework well.
Adjective,expensive,昂貴的,The big remote control car is too expensive.
Noun,money,錢,Money jingles and jangles in the piggy bank.
Verb,pay,付錢,I pay for candy with coins from my piggy bank.
Noun,price,價格,What's the price of that shiny red balloon?
Verb,save,儲存/拯救,I save my allowance to buy something special.
Verb,sell,賣/販售,They sell fresh fruit at the market.
Verb,sell,販賣,They sell fresh lemonade on hot summer days.
Verb,spend,花費,I spend my money on a new toy.
=== 47. 選擇與決定 ===,,,
Noun,choice,選擇,Making a good choice takes time to think.
Verb,choose,選擇,I choose the blue balloon because it's pretty.
Verb,decide,決定,I decide to wear my red shirt today.
Noun,decision,決定,That was a good decision you made there.
=== 48. 機會與運氣 ===,,,
Noun,chance,機會,Everyone gets a chance to answer the question.
Noun,luck,運氣,Good luck on your test tomorrow at school.
Adjective,lucky,幸運的,I feel lucky to have such good friends.
Adjective,unlucky,不幸的,It was unlucky that it rained on our picnic.
Verb,wait,等待,I wait patiently for my turn to play.
=== 49. 數學 ===,,,
Verb,add,增加/加,I add one more block to my tower.
Verb,add,加上,Add one more block to make tower taller.
Noun,couple,一對/幾個,A couple of birds sit on the wire.
Noun,double,兩倍,Two is double the amount of one here.
Noun,dozen,一打,We bought a dozen eggs at the store.
Verb,equal,等於,Two plus two equals four every single time.
Adjective,equal,相等的,Both sides have equal amounts of candy here.
Noun,equals,等號,The equals sign shows the answer to problem.
Noun,math,數學,Math helps us count and solve fun problems.
Noun,minus,減號,The minus sign means we take numbers away.
Adjective,multiple,多個的,There are multiple ways to solve this problem.
Verb,multiply,乘,Two times three equals six in math class.
Noun,pair,一對,I have a pair of matching red socks.
Noun,plus,加號,The plus sign means we add numbers together.
Noun,quarter,四分之一,A quarter is one fourth of the whole.
Adjective,single,單一的,I need a single pencil for the test.
Verb,subtract,減去,If I subtract two cookies I have one.
=== 5. 形狀與大小 ===,,,
Adjective,big,大的,The big bear gives gentle warm hugs.
Noun,circle,圓形,I trace a circle with a cup.
Adjective,deep,深的,The pool is deep so be careful.
Noun,dot,點,Put one dot on the white paper.
Adjective,fat,胖的,The fat pumpkin sits on the step.
Adjective,high,高的,The kite flies high in the sky.
Noun,line,線,Draw a line from dot to dot.
Determiner,little,少許/小的,Just a little bit of magic helps.
Adjective,long,長的,The dragon has a long curly tail.
Adjective,low,低的,The snake stays low in cool grass.
Adjective,narrow,窄的,The narrow bridge tests our balance and courage.
Noun,shape,形狀,I draw a heart shape for you.
Adjective,short,短的,The puppy has a short wagging tail.
Noun,size,尺寸/大小,What size shoes do you wear now?
Adjective,small,小的,A small ant carries a big leaf.
Noun,square,正方形,I draw a square for a window.
Adjective,tall,高的,The tree is tall and very green.
Adjective,thick,厚的,Thick fur keeps polar bears warm in frozen winters.
Adjective,thin,瘦的,The thin stick bends easily in wind.
Adjective,thin,薄的,Thin paper lets light shine through like windows glowing.
Noun,triangle,三角形,The kite is a bright red triangle.
Noun,rectangle,長方形,The door is a tall rectangle at home.
Noun,oval,橢圓形,The egg is an oval on my plate.
Noun,diamond,菱形,My kite is a red diamond in the sky.
Adjective,wide,寬的,The river is wide and bright blue.
=== 50. 科技 ===,,,
Noun,button,按鈕,I press the button to turn on light.
Noun,camera,相機,The camera takes pictures of happy family moments.
Noun,computer,電腦,I play educational games on the computer sometimes.
Noun,machine,機器,The washing machine cleans our dirty clothes well.
Noun,phone,電話,I call grandma on the phone every week.
Noun,photo,照片,This photo shows our family at the beach.
Noun,photograph,照片,The old photograph is from long ago times.
Noun,robot,機器人,My toy robot walks and talks to me.
Noun,rocket,火箭,The rocket blasts off into outer space fast.
Noun,screen,螢幕,The movie plays on the big bright screen.
Noun,spaceship,太空船,The spaceship travels to distant planets far away.
Noun,tablet,平板電腦,I draw pictures on the tablet with my finger.
Noun,tool,工具,A hammer is a tool for building things.
Noun,video,影片,We watch funny videos of cats being silly.
=== 51. 故事與想像 ===,,,
Noun,alien,外星人,The friendly alien waves hello from the stars.
Noun,beginning,開始,At the beginning of the story the prince appears.
Noun,castle,城堡,The stone castle has towers reaching to clouds.
Adjective,creative,有創意的,Creative people think of new fun different ideas.
Noun,crown,皇冠,The queen's crown is covered with shiny jewels.
Noun,dragon,龍,The friendly dragon breathes colorful fire out.
Noun,ending,結尾,The ending of the story makes me smile.
Noun,fairy,仙子,The tiny fairy has wings that glow bright.
Noun,flag,旗子,The colorful flag waves in the strong wind.
Noun,giant,巨人,The gentle giant helps us reach the apples.
Noun,imagination,想像力,My imagination takes me on amazing wild adventures.
Noun,king,國王,The king lives in a big castle.
Noun,knight,騎士,The brave knight rides a white horse fast.
Noun,magic,魔法,Real magic happens when you help someone today.
Adjective,magic,魔法的,My magic wand turns pebbles into gold dreams.
Noun,monster,怪獸,The monster under my bed is actually nice.
Noun,picture,圖畫/照片,The picture shows a blue flying bird.
Noun,pirate,海盜,The pirate wears a hat with a skull.
Noun,planet,星球,We live on planet Earth spinning in space.
Noun,prince,王子,The prince lives in a tall stone castle.
Noun,princess,公主,The princess wears a sparkly crown on her head.
Noun,queen,女王,The kind queen helps all the people here.
Noun,tent,帳篷,We sleep in a tent under the stars.
Noun,tower,塔,I climb to the top of the tower.
Noun,treasure,寶藏,We dig for treasure buried in the sand.
Noun,universe,宇宙,The universe is an endless ocean of stars and mysteries.
Noun,witch,女巫,The good witch makes magic potions to help.
Noun,wizard,巫師,The wise wizard has a long white beard.
=== 52. 聲音 ===,,,
Verb,bark,吠叫,Puppies bark when they see their friends.
Verb,growl,低吼,My tummy can growl before lunch time.
Verb,meow,喵叫,Kittens meow for milk at night time.
Noun,noise,噪音,The noise wakes the baby right up.
Verb,quack,呱叫,The ducklings quack for their mom duck.
Noun,ring,戒指/鈴聲,The phone makes a loud ring sound.
Verb,ring,響,The bell rings when it's time for class.
Verb,roar,吼叫,I roar like a friendly big lion.
Noun,silence,安靜/寂靜,The silence at night is peaceful and calm.
Noun,sound,聲音,The sound of rain is soft music.
Noun,voice,聲音,Mom's voice is soft and makes me calm.
=== 53. 光線與視覺 ===,,,
Adjective,bright,明亮的,The morning is bright and so warm.
Adjective,dark,黑暗的,It is dark so we use a lamp.
Noun,dark,黑暗,The dark is just light waiting for eyes.
Verb,shine,發光,The stars shine above our small house.
Verb,show,展示,The rainbow shows us that the world is colorful.
=== 54. 其他常用動詞 ===,,,
Verb,crawl,爬行,Ants crawl across the picnic cloth fast.
Verb,die,死亡,When flowers die they become food for new life.
Verb,get,得到/取得,I get a sticker for helping others.
Verb,get,獲得,I get butterflies in my tummy when excited.
Verb,keep,保持/保留,I keep my sense of fun safe in heart.
Verb,let,允許,Let your imagination run wild like a dog!
Verb,live,居住,Tiny bugs live inside the flowers waiting here.
Verb,roll,滾動,I roll the ball across the floor.
Verb,seem,似乎/看起來,You seem happy today with your smile.
Verb,send,寄送,I send a letter to my friend.
Verb,set,設置/放置,I set the table for dinner time.
Verb,slither,滑行,Worms slither through the soft wet dirt.
Verb,swim,游泳,Fish swim in the clear blue water.
Verb,use,使用,I use my imagination like a toy making worlds.
=== 55. 其他常用詞 ===,,,
Noun,building,建築物,That tall building touches the clouds way up.
Noun,compass,指南針,The compass always points north to help explorers.
Noun,energy,能量,Food gives me energy to run and play.
Noun,factory,工廠,The factory makes toys for children to play.
Noun,fountain,噴泉,Water shoots high from the pretty fountain here.
Noun,hole,洞,That mysterious hole in the tree might lead to a kingdom!
Noun,hug,擁抱,A hug makes the day feel warm.
Noun,kiss,親吻,I give a kiss to my grandma.
Noun,ladder,梯子,I climb the ladder to reach the stars.
Noun,life,生命/生活,Life is an adventure waiting for us.
Noun,map,地圖,The treasure map shows where to dig for gold.
Noun,party,派對/聚會,We have a party for my birthday.
Noun,path,小徑,We follow the winding path through the woods.
Noun,present,禮物,The mystery present sparkles with ribbons like a treasure!
Noun,problem,問題,Every problem is like a puzzle waiting to be solved.
Noun,sign,標誌/符號,The sign shows the way to go.
Noun,statue,雕像,The stone statue stands in the park center.
Noun,surprise,驚喜,Mom has a special surprise waiting for me.
Verb,surprise,使驚訝,I will surprise mom with breakfast in bed.
Noun,thing,東西/事物,The best thing today is playing here.
Noun,trail,小道,The hiking trail leads to a beautiful viewpoint.
Noun,way,方式/道路,There are many ways to make smiles.
Noun,way,方法/路,The rainbow shows the way to go.
Noun,way,方法/道路,The bunny showed us the secret way through the hedge.
